date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:44:44	201065/201065	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Oct%202021%2012:29:02%20GMT	https://www.resultchecker.com.ng/assets/images/mbr.jpg	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/assets/images/mbr.jpg	(from https://www.resultchecker.com.ng/assets/mobirise/css/mbr-additional.css)
13:44:44	342919/342919	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Oct%202021%2012:29:02%20GMT	https://www.resultchecker.com.ng/assets/images/background3.jpg	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/assets/images/background3.jpg	(from https://www.resultchecker.com.ng/assets/mobirise/css/mbr-additional.css)
13:44:44	28634/28634	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Sep%202023%2012:44:43%20GMT	https://www.resultchecker.com.ng/index.php	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/index-3.html	(from https://www.resultchecker.com.ng/reseller.php)
13:44:45	18674/18674	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Oct%202021%2012:29:04%20GMT	https://www.resultchecker.com.ng/assets/images/join-reseller.php-meta.jpg	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/assets/images/join-reseller.php-meta.jpg	(from https://www.resultchecker.com.ng/join-reseller.php)
13:44:45	14388/14388	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Sep%202023%2012:44:44%20GMT	https://www.resultchecker.com.ng/resetpass.php	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/resetpass.html	(from https://www.resultchecker.com.ng/join-reseller.php)
13:44:45	18674/18674	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Oct%202021%2012:29:02%20GMT	https://www.resultchecker.com.ng/assets/images/offline-school-result-builder-software.php-meta.jpg	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/assets/images/offline-school-result-builder-software.php-meta.jpg	(from https://www.resultchecker.com.ng/offline-school-result-builder-software.php)
13:44:45	259222/259222	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Oct%202021%2012:29:00%20GMT	https://www.resultchecker.com.ng/assets/images/mbr-1920x1279.jpg	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/assets/images/mbr-1920x1279.jpg	(from https://www.resultchecker.com.ng/assets/mobirise/css/mbr-additional.css)
13:44:46	18674/18674	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Oct%202021%2012:29:00%20GMT	https://www.resultchecker.com.ng/assets/images/builder-1080x504.png	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/assets/images/builder-1080x504.png	(from https://www.resultchecker.com.ng/offline-school-result-builder-software.php)
13:44:46	7809/7809	---M-Z	200	added ('OK')	text/css	date:Fri,%2001%20Oct%202021%2012:29:02%20GMT	https://www.resultchecker.com.ng/assets/web/assets/mobirise-icons-bold/mobirise-icons-bold.css	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/assets/web/assets/mobirise-icons-bold/mobirise-icons-bold.css	(from https://www.resultchecker.com.ng/school-portal-script.php)
13:44:46	2212/2212	---M-Z	200	added ('OK')	text/css	date:Fri,%2001%20Oct%202021%2012:29:02%20GMT	https://www.resultchecker.com.ng/assets/formstyler/jquery.formstyler.css	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/assets/formstyler/jquery.formstyler.css	(from https://www.resultchecker.com.ng/school-portal-script.php)
13:44:46	11197/11197	---M-Z	200	added ('OK')	text/css	date:Fri,%2001%20Oct%202021%2012:29:02%20GMT	https://www.resultchecker.com.ng/assets/formstyler/jquery.formstyler.theme.css	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/assets/formstyler/jquery.formstyler.theme.css	(from https://www.resultchecker.com.ng/school-portal-script.php)
13:44:47	16503/16503	---M-Z	200	added ('OK')	text/css	date:Fri,%2001%20Oct%202021%2012:29:02%20GMT	https://www.resultchecker.com.ng/assets/datepicker/jquery.datetimepicker.min.css	C:/Users/user/Desktop/400L/ECE%20431/Ken/www.resultchecker.com.ng/assets/datepicker/jquery.datetimepicker.min.css	(from https://www.resultchecker.com.ng/school-portal-script.php)
